incident_id,probability,is_real_incident,last_order_end,after_order_start,gap_minutes,total_after_distance_km,max_jump_distance_km,mean_speed_kmh,median_speed_kmh,max_speed_kmh,bearing_changes,static_segments_ratio,radius_from_start_m,coordinate_stability_m,return_count,after_order_start_hour,after_track_duration_minutes,bearing_changes_ratio,full_stop_count,linearity
25727,0,1,0001-01-01T00:00:00,2025-03-10T18:42:21.804000,1064620482.3634,0.01,0.002,0.54,0.03,9.17,4,0.944,2.56,0.95,17,18,22.2,0.235,14,0.197
25726,70,0,0001-01-01T00:00:00,2025-03-10T12:00:00.595000,1064620080.0099167,5.228,0.49,0.83,0.26,14.36,32,0.884,435.53,130.69,138,12,423.87,0.17,167,0.041
25725,70,0,0001-01-01T00:00:00,2025-03-10T15:17:46.704000,1064620277.7784001,3.618,1.559,0.93,0.08,60.1,41,0.974,1551.43,139.44,150,15,225.1,0.268,146,0.003
25724,65,0,0001-01-01T00:00:00,2025-03-10T18:29:51.868000,1064620469.8644665,0.488,0.488,1.11,0.0,34.34,0,0.968,487.95,224.97,8,18,32.4,0.0,19,1.0
25723,0,1,0001-01-01T00:00:00,2025-03-10T18:54:15.642000,1064620494.2607,0.007,0.002,5.49,0.11,41.28,3,0.636,1.25,0.64,10,18,7.58,0.3,4,0.116
25721,60,0,0001-01-01T00:00:00,2025-03-09T13:53:14.978000,1064618753.2496333,28.564,26.286,0.97,0.0,784.32,32,0.994,27944.29,942.46,873,13,1746.33,0.037,872,0.978
25720,70,0,0001-01-01T00:00:00,2025-03-09T17:04:50.621000,1064618944.8436834,1.157,0.278,0.05,0.0,8.7,29,0.995,468.45,32.43,760,17,1554.6,0.037,770,0.405
25718,70,0,0001-01-01T00:00:00,2025-03-10T16:36:27.604000,1064620356.4600666,1.45,0.225,41.85,0.1,2999.62,10,0.827,394.36,128.48,44,16,142.31,0.135,61,0.272
25717,0,0,0001-01-01T00:00:00,2025-03-09T14:56:08.185000,1064618816.1364167,1162.442,66.601,40.28,0.0,2020.03,26,0.818,44616.72,11452.22,478,14,1682.32,0.03,684,0.024
25716,70,0,0001-01-01T00:00:00,2025-03-09T18:55:24.610000,1064619055.4101666,1.312,0.102,0.18,0.04,30.86,219,0.992,314.71,54.07,713,18,1442.59,0.296,725,0.234
25714,70,0,0001-01-01T00:00:00,2025-03-10T18:11:43.090000,1064620451.7181666,5.696,0.448,32.43,6.93,450.75,2,0.297,5621.46,1403.81,0,18,43.69,0.054,0,0.987
25713,65,0,0001-01-01T00:00:00,2025-03-10T18:45:23.851000,1064620485.3975166,2.171,1.999,10.82,0.0,59.76,0,0.667,2134.25,1009.41,2,18,9.1,0.0,3,0.983
25712,70,0,0001-01-01T00:00:00,2025-03-09T13:58:24.064000,1064618758.4010667,4.746,0.407,0.23,0.0,17.02,73,0.94,501.65,183.85,354,13,1735.84,0.066,889,0.054
25711,55,1,0001-01-01T00:00:00,2025-03-10T12:48:23.409000,1064620128.39015,0.94,0.129,0.15,0.0,3.81,8,0.934,388.13,62.27,185,12,365.74,0.041,171,0.409
25710,0,0,0001-01-01T00:00:00,2025-03-10T18:45:16.334000,1064620485.2722334,0.23,0.224,1.47,0.0,13.13,2,0.889,224.26,66.7,0,18,7.52,0.25,2,0.962
25709,0,0,0001-01-01T00:00:00,2025-03-10T17:04:47.277000,1064620384.78795,0.083,0.003,0.04,0.04,0.14,11,1.0,8.62,2.99,73,17,108.09,0.151,71,0.091
25708,55,0,0001-01-01T00:00:00,2025-03-10T18:45:22.542000,1064620485.3757,0.68,0.355,12.5,14.24,31.83,2,0.333,663.79,270.02,2,18,5.82,0.25,1,0.976
25707,0,0,0001-01-01T00:00:00,2025-03-10T18:46:59.474000,1064620486.9912333,0.0,0.0,0.03,0.0,0.13,0,1.0,0.35,0.13,3,18,3.47,0.0,2,0.993
25706,0,0,0001-01-01T00:00:00,2025-03-10T18:43:10.042000,1064620483.1673666,0.126,0.04,33.67,0.1,120.6,3,0.625,41.01,16.56,7,18,8.0,0.429,5,0.311
25705,70,0,0001-01-01T00:00:00,2025-03-10T10:33:13.181000,1064619993.2196833,9.258,2.825,1.22,0.17,85.09,64,0.868,2899.14,379.57,2,10,496.85,0.282,198,0.007
25704,0,0,0001-01-01T00:00:00,2025-03-10T18:22:28.103000,1064620462.4683833,0.069,0.014,17.96,0.14,262.17,4,0.812,17.1,5.51,15,18,27.08,0.267,13,0.105
25703,0,0,0001-01-01T00:00:00,2025-03-10T18:32:39.957000,1064620472.6659501,0.007,0.002,0.02,0.0,0.07,2,1.0,3.15,1.28,12,18,16.58,0.167,8,0.416
25702,65,0,0001-01-01T00:00:00,2025-03-09T17:47:21.233000,1064618987.3538834,4.384,4.384,0.14,0.0,76.92,0,0.998,4384.38,184.81,554,17,1500.06,0.0,405,1.0
25701,0,0,0001-01-01T00:00:00,2025-03-10T18:38:47.058000,1064620478.7843,0.002,0.001,0.01,0.0,0.03,1,1.0,0.7,0.3,7,18,6.25,0.143,3,0.466
25700,0,0,0001-01-01T00:00:00,2025-03-10T18:35:00.243000,1064620475.0040499,0.161,0.114,2.29,0.06,12.95,2,0.833,112.56,47.93,3,18,8.81,0.4,3,0.428
25698,45,0,0001-01-01T00:00:00,2025-03-10T08:27:33.074000,1064619867.5512333,0.422,0.168,0.04,0.02,4.93,71,0.997,187.01,23.77,305,8,612.6,0.229,304,0.443
25696,0,0,0001-01-01T00:00:00,2025-03-10T18:33:56.758000,1064620473.9459667,0.003,0.001,0.01,0.01,0.03,1,1.0,1.83,0.72,6,18,9.44,0.167,6,0.55
25695,0,0,0001-01-01T00:00:00,2025-03-10T18:38:07.556000,1064620478.1259333,0.001,0.0,0.12,0.01,0.68,0,1.0,1.22,0.43,5,18,4.96,0.0,3,0.991
25694,0,0,0001-01-01T00:00:00,2025-03-09T12:38:23.960000,1064618678.3993334,8220.145,141.315,199.47,0.0,31359.71,233,0.609,114724.99,21602.81,58,12,1803.91,0.158,659,0.001
25692,0,0,0001-01-01T00:00:00,2025-03-10T18:25:40.873000,1064620465.6812167,0.166,0.097,6.23,0.01,51.96,1,0.667,151.06,61.76,4,18,13.66,0.125,5,0.912
25691,0,0,0001-01-01T00:00:00,2025-03-10T18:32:27.115000,1064620472.4519166,0.078,0.04,80.0,0.04,593.2,0,0.625,77.54,27.22,7,18,6.26,0.0,3,0.99
25689,70,0,0001-01-01T00:00:00,2025-03-10T13:18:37.669000,1064620158.6278167,1.15,0.341,0.23,0.0,9.71,10,0.953,318.32,47.64,142,13,318.52,0.068,140,0.096
25688,45,0,0001-01-01T00:00:00,2025-03-10T15:34:40.606000,1064620294.6767668,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,147,15,181.91,0.0,106,0
25687,0,0,0001-01-01T00:00:00,2025-03-10T18:30:45.428000,1064620470.7571334,0.01,0.008,0.73,0.12,2.07,0,0.667,9.87,3.88,2,18,4.63,0.0,1,1.0
25686,70,1,0001-01-01T00:00:00,2025-03-10T12:19:44.058000,1064620099.7343,11.762,0.455,1.91,0.1,16.53,41,0.697,3178.07,963.43,127,12,373.87,0.205,130,0.088
25685,45,0,0001-01-01T00:00:00,2025-03-10T11:32:10.644000,1064620052.1774,0.404,0.019,0.06,0.04,0.39,23,1.0,36.68,9.99,144,11,419.26,0.16,140,0.091
25684,0,0,0001-01-01T00:00:00,2025-03-10T18:23:57.818000,1064620463.9636333,0.002,0.001,0.01,0.01,0.02,0,1.0,0.35,0.21,4,18,7.86,0.0,3,0.22
25683,55,0,0001-01-01T00:00:00,2025-03-10T18:20:22.973000,1064620460.3828833,0.54,0.086,5.6,0.0,35.52,2,0.548,409.16,154.66,5,18,11.51,0.067,4,0.758
25682,0,0,0001-01-01T00:00:00,2025-03-10T18:08:29.945000,1064620448.4990833,0.008,0.002,0.17,0.02,1.53,5,0.941,2.87,1.09,16,18,23.02,0.312,11,0.292
25681,70,0,0001-01-01T00:00:00,2025-03-10T18:17:22.976000,1064620457.3829333,2.59,1.264,71.59,3.53,611.66,3,0.455,949.99,496.73,3,18,11.89,0.3,3,0.048
25679,0,0,0001-01-01T00:00:00,2025-03-10T18:22:04.417000,1064620462.0736166,0.008,0.003,33.6,0.08,167.76,0,0.8,7.49,2.78,4,18,7.29,0.0,4,0.9
25677,0,0,0001-01-01T00:00:00,2025-03-10T18:20:10.896000,1064620460.1816001,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,4,18,6.6,0.0,4,0
25675,0,0,0001-01-01T00:00:00,2025-03-09T12:38:23.960000,1064618678.3993334,8093.917,141.315,199.23,0.0,31359.71,229,0.61,114724.99,21649.4,58,12,1785.63,0.157,654,0.001
25674,70,0,0001-01-01T00:00:00,2025-03-09T11:51:53.853000,1064618631.89755,2.53,0.317,0.08,0.02,9.5,144,0.995,1108.11,154.45,960,11,1831.96,0.147,977,0.438
25673,60,0,0001-01-01T00:00:00,2025-03-09T09:29:26.804000,1064618489.4467334,1.849,0.813,0.06,0.03,24.05,247,0.999,808.99,57.15,989,9,1974.38,0.248,993,0.437
25672,70,1,0001-01-01T00:00:00,2025-03-09T17:41:03.621000,1064618981.0603501,1.495,0.42,0.15,0.0,77.0,9,0.992,314.69,31.32,809,17,1482.4,0.011,807,0.128
25671,45,0,0001-01-01T00:00:00,2025-03-10T18:17:22.976000,1064620457.3829333,1.08,0.95,104.56,0.0,611.66,2,0.571,949.99,464.64,3,18,4.88,0.333,2,0.88
25669,45,0,0001-01-01T00:00:00,2025-03-10T18:15:05.358000,1064620455.0893,0.005,0.003,0.03,0.02,0.06,0,1.0,3.64,1.6,3,18,5.98,0.0,2,0.702
25668,0,1,0001-01-01T00:00:00,2025-03-10T18:08:05.460000,1064620448.091,0.005,0.004,0.02,0.0,0.13,1,1.0,4.03,1.95,8,18,11.95,0.125,6,0.738
25666,0,0,0001-01-01T00:00:00,2025-03-10T18:10:21.872000,1064620450.3645333,0.025,0.022,0.24,0.03,0.89,0,1.0,21.83,8.48,3,18,7.47,0.0,3,0.804
25664,65,0,0001-01-01T00:00:00,2025-03-10T18:12:39.031000,1064620452.6505166,1.097,0.366,118.5,0.0,700.77,4,0.625,365.76,171.82,1,18,5.07,0.571,3,0.333
25663,70,0,0001-01-01T00:00:00,2025-03-09T17:41:03.621000,1064618981.0603501,1.189,0.42,0.14,0.0,77.0,9,0.993,314.69,26.69,809,17,1476.33,0.011,805,0.114
25661,0,0,0001-01-01T00:00:00,2025-03-10T18:12:13.510000,1064620452.2251667,0.002,0.002,0.03,0.02,0.08,0,1.0,1.64,0.74,2,18,3.1,0.0,2,0.585
25660,0,0,0001-01-01T00:00:00,2025-03-09T18:45:29.019000,1064619045.48365,172.252,17.672,14.76,0.0,2249.2,27,0.95,17674.35,2040.03,697,18,1409.84,0.035,682,0.059
25659,0,0,0001-01-01T00:00:00,2025-03-10T18:10:59.922000,1064620450.9986999,0.001,0.0,0.32,0.01,2.16,2,0.889,0.48,0.18,8,18,4.97,0.25,2,0.397
25657,0,0,0001-01-01T00:00:00,2025-03-10T17:27:59.686000,1064620407.9947666,0.077,0.005,15.95,0.09,440.08,7,0.897,9.29,3.47,28,17,46.78,0.25,23,0.071
25656,0,0,0001-01-01T00:00:00,2025-03-10T17:51:52.319000,1064620431.8719833,0.031,0.006,0.19,0.08,1.2,4,0.933,10.9,4.33,15,17,22.6,0.267,10,0.168
25655,0,0,0001-01-01T00:00:00,2025-03-10T18:07:14.260000,1064620447.2376667,0.001,0.0,0.0,0.0,0.01,2,1.0,0.5,0.16,8,18,6.89,0.25,4,0.323
25654,45,1,0001-01-01T00:00:00,2025-03-10T16:26:33.558000,1064620346.5593,0.297,0.03,0.6,0.13,20.74,19,0.965,54.53,12.97,56,16,107.11,0.339,53,0.184
25653,0,0,0001-01-01T00:00:00,2025-03-10T17:24:53.831000,1064620404.8971833,7.612,4.253,7.66,0.0,143.33,3,0.854,5684.86,1297.41,17,17,46.44,0.075,19,0.747
25652,0,0,0001-01-01T00:00:00,2025-03-10T18:03:30.120000,1064620443.5020001,0.001,0.0,0.01,0.0,0.01,0,1.0,0.32,0.16,4,18,7.79,0.0,4,0.39
25651,70,1,0001-01-01T00:00:00,2025-03-09T13:58:24.064000,1064618758.4010667,3.653,0.22,0.2,0.0,17.02,70,0.948,485.42,182.45,338,13,1692.29,0.064,877,0.021
25650,0,0,0001-01-01T00:00:00,2025-03-10T18:03:45.652000,1064620443.7608666,0.005,0.001,0.36,0.04,2.68,2,0.889,1.3,0.57,8,18,7.06,0.25,3,0.111
25649,60,1,0001-01-01T00:00:00,2025-03-09T19:08:31.758000,1064619068.5293001,2.081,0.83,0.09,0.01,25.74,107,0.996,1085.88,255.06,326,19,1381.96,0.155,688,0.522
25648,70,0,0001-01-01T00:00:00,2025-03-10T16:34:04.422000,1064620354.0737,5.664,1.354,3.47,0.53,38.24,5,0.583,1093.49,533.22,20,16,96.07,0.106,27,0.117
25647,0,0,0001-01-01T00:00:00,2025-03-10T18:06:07.726000,1064620446.1287667,0.032,0.016,36.39,0.01,204.47,4,0.667,15.51,4.43,9,18,4.01,0.444,1,0.015
25646,70,1,0001-01-01T00:00:00,2025-03-10T16:46:23.575000,1064620366.3929166,1.251,0.485,0.92,0.21,19.89,8,0.945,569.88,129.25,50,16,83.58,0.148,52,0.455
25645,70,0,0001-01-01T00:00:00,2025-03-10T12:00:00.595000,1064620080.0099167,4.269,0.342,0.76,0.3,10.3,32,0.887,435.53,99.04,138,12,368.57,0.192,149,0.093
25644,60,0,0001-01-01T00:00:00,2025-03-10T17:54:28.039000,1064620434.4673167,1.523,0.764,6.77,0.43,22.14,2,0.6,737.98,277.85,3,17,12.01,0.5,3,0.018
25643,0,0,0001-01-01T00:00:00,2025-03-10T06:19:22.922000,1064619739.3820332,91.286,18.349,7.36,0.06,704.97,94,0.961,18966.9,2297.2,457,6,709.56,0.193,451,0.0
25641,45,0,0001-01-01T00:00:00,2025-03-10T15:03:24.258000,1064620263.4043001,0.304,0.155,0.1,0.04,4.7,31,0.99,156.38,27.15,92,15,183.49,0.326,92,0.515
25640,0,0,0001-01-01T00:00:00,2025-03-10T14:24:47.721000,1064620224.79535,294.654,40.681,73.73,0.0,1397.24,13,0.801,51071.35,12538.25,4,14,221.85,0.093,87,0.167
25639,70,0,0001-01-01T00:00:00,2025-03-10T15:32:57.813000,1064620292.9635501,1.903,0.161,2.03,0.14,43.57,44,0.745,938.72,359.98,64,15,153.41,0.15,74,0.493
25638,70,0,0001-01-01T00:00:00,2025-03-09T16:16:53.212000,1064618896.8868667,19.781,1.333,0.82,0.41,39.61,169,0.82,1305.27,155.72,647,16,1548.64,0.229,603,0.004
25637,0,0,0001-01-01T00:00:00,2025-03-10T17:55:54.879000,1064620435.91465,0.003,0.001,3.57,0.16,32.48,2,0.8,0.69,0.3,9,17,7.08,0.222,4,0.23
25636,55,0,0001-01-01T00:00:00,2025-03-10T17:55:54.951000,1064620435.9158499,1.018,0.374,111.89,17.35,641.48,4,0.25,386.82,180.59,3,17,7.07,0.571,2,0.378
25633,70,1,0001-01-01T00:00:00,2025-03-10T16:27:31.777000,1064620347.5296167,1.789,0.267,1.12,0.14,8.33,12,0.72,252.47,77.95,38,16,94.09,0.245,34,0.017
25632,70,0,0001-01-01T00:00:00,2025-03-10T14:53:59.977000,1064620253.9996166,2.543,0.949,0.83,0.02,32.23,23,0.971,2441.63,622.72,89,14,187.22,0.228,93,0.96
25631,0,0,0001-01-01T00:00:00,2025-03-10T17:56:11.339000,1064620436.1889833,0.092,0.048,1.43,1.58,2.72,0,0.333,92.01,38.22,2,17,4.78,0.0,1,0.995
25630,45,0,0001-01-01T00:00:00,2025-03-10T17:53:00.386000,1064620433.0064334,0.699,0.696,4.28,0.03,21.33,1,0.8,696.43,327.78,0,17,8.0,0.25,3,0.994
25628,0,0,0001-01-01T00:00:00,2025-03-10T17:53:21.661000,1064620433.3610168,0.002,0.001,3.98,0.01,25.4,4,0.8,0.83,0.25,9,17,6.85,0.444,3,0.203
25627,45,0,0001-01-01T00:00:00,2025-03-10T17:05:07.146000,1064620385.1191001,0.835,0.78,0.76,0.02,23.56,5,0.943,808.43,220.4,31,17,54.91,0.147,27,0.968
25626,45,0,0001-01-01T00:00:00,2025-03-10T17:52:28.204000,1064620432.4700667,0.314,0.309,80.4,0.12,481.81,2,0.833,308.77,107.56,0,17,6.01,0.4,2,0.981
25625,70,0,0001-01-01T00:00:00,2025-03-09T16:16:53.212000,1064618896.8868667,19.454,1.333,0.81,0.41,39.61,168,0.82,1305.27,155.97,644,16,1542.54,0.229,601,0.012
25623,0,0,0001-01-01T00:00:00,2025-03-10T17:50:19.493000,1064620430.3248832,0.007,0.004,5.21,0.08,15.52,0,0.667,6.87,2.81,2,17,6.07,0.0,2,0.923
25621,0,0,0001-01-01T00:00:00,2025-03-10T17:44:27.278000,1064620424.4546334,0.067,0.055,1.4,0.01,24.73,5,0.857,64.19,13.03,21,17,9.78,0.238,4,0.958
25620,0,0,0001-01-01T00:00:00,2025-03-10T17:28:22.196000,1064620408.3699334,0.037,0.025,0.08,0.0,0.74,0,1.0,35.92,15.13,13,17,25.87,0.0,13,0.966
25619,0,0,0001-01-01T00:00:00,2025-03-09T18:45:29.019000,1064619045.48365,111.182,17.511,8.06,0.0,1608.17,23,0.964,17510.44,1644.53,689,18,1387.79,0.031,680,0.087
25618,70,0,0001-01-01T00:00:00,2025-03-10T15:42:50.380000,1064620302.8396666,1.177,0.314,0.77,0.18,25.88,11,0.899,314.34,75.79,62,15,130.04,0.162,59,0.02
25617,0,0,0001-01-01T00:00:00,2025-03-09T07:47:55.894000,1064618387.9315666,1959.866,17.563,63.94,0.0,1901.72,34,0.587,17548.02,6725.98,635,7,2044.41,0.032,614,0.003
25616,45,0,0001-01-01T00:00:00,2025-03-10T17:36:19.424000,1064620416.3237334,0.464,0.455,59.91,0.01,538.97,2,0.889,456.58,136.03,0,17,15.08,0.25,5,0.984
25615,0,0,0001-01-01T00:00:00,2025-03-10T17:42:14.566000,1064620422.2427667,0.108,0.105,0.47,0.01,2.31,0,0.8,106.89,36.83,0,17,8.69,0.0,2,0.993
25614,45,0,0001-01-01T00:00:00,2025-03-10T17:43:56.798000,1064620423.9466332,0.481,0.471,21.68,0.09,86.52,1,0.75,471.33,186.86,0,17,6.35,0.333,2,0.964
25613,0,0,0001-01-01T00:00:00,2025-03-10T17:23:51.767000,1064620403.8627833,38.023,18.088,75.93,0.0,537.49,1,0.733,18087.55,8725.93,2,17,27.15,0.071,10,0.009
25612,45,0,0001-01-01T00:00:00,2025-03-10T17:42:33.976000,1064620422.5662667,0.327,0.324,7.15,0.03,28.53,0,0.75,324.39,129.19,0,17,6.71,0.0,2,0.985
25611,0,0,0001-01-01T00:00:00,2025-03-10T17:43:05.593000,1064620423.0932167,0.001,0.0,0.01,0.0,0.02,2,1.0,0.65,0.21,8,17,6.98,0.25,4,0.615
25610,60,1,0001-01-01T00:00:00,2025-03-10T14:53:59.977000,1064620253.9996166,1.763,0.949,0.63,0.02,32.23,23,0.979,1669.14,306.47,89,14,174.38,0.245,87,0.947
25609,0,0,0001-01-01T00:00:00,2025-03-09T12:38:23.960000,1064618678.3993334,7986.941,141.315,200.11,0.0,31359.71,228,0.609,114724.99,21435.34,58,12,1749.2,0.159,640,0.001
25608,0,0,0001-01-01T00:00:00,2025-03-09T14:45:38.923000,1064618805.6487166,16.226,0.728,0.65,0.23,21.73,164,0.918,717.82,94.18,656,14,1621.48,0.217,694,0.012
25607,0,0,0001-01-01T00:00:00,2025-03-10T17:42:42.802000,1064620422.7133667,0.002,0.001,2.03,0.02,14.91,3,0.875,0.49,0.2,7,17,4.11,0.429,2,0.109
25604,45,0,0001-01-01T00:00:00,2025-03-10T10:35:58.557000,1064619995.97595,0.523,0.012,1.23,0.06,246.68,54,0.991,28.49,5.2,220,10,426.27,0.245,219,0.042
25603,0,0,0001-01-01T00:00:00,2025-03-10T17:34:14.774000,1064620414.2462333,0.005,0.001,0.14,0.03,0.89,1,1.0,1.33,0.54,8,17,6.97,0.125,4,0.056
25602,0,0,0001-01-01T00:00:00,2025-03-10T17:36:19.480000,1064620416.3246667,0.103,0.048,13.17,0.14,33.61,0,0.6,102.85,34.1,3,17,4.49,0.0,1,1.0
25601,0,0,0001-01-01T00:00:00,2025-03-10T17:28:49.124000,1064620408.8187333,0.092,0.028,4.6,0.5,38.94,1,0.889,41.79,16.24,8,17,10.96,0.125,5,0.274
25600,55,0,0001-01-01T00:00:00,2025-03-10T16:55:09.472000,1064620375.1578667,0.423,0.227,1.23,0.0,19.27,6,0.838,289.28,138.66,24,16,43.23,0.167,26,0.685
25599,0,0,0001-01-01T00:00:00,2025-03-10T17:32:18.732000,1064620412.3122001,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,4,17,4.93,0.0,3,0
25597,0,0,0001-01-01T00:00:00,2025-03-10T17:26:19.853000,1064620406.3308833,0.002,0.001,0.13,0.01,0.95,2,1.0,0.69,0.26,7,17,7.88,0.286,4,0.21
25595,45,0,0001-01-01T00:00:00,2025-03-10T17:23:30.898000,1064620403.5149667,0.623,0.574,3.73,0.62,17.24,2,0.8,581.37,284.11,1,17,9.99,0.5,3,0.933
25594,45,0,0001-01-01T00:00:00,2025-03-10T17:29:23.046000,1064620409.3841,0.014,0.014,0.29,0.29,0.57,1,1.0,14.12,6.65,1,17,3.36,1.0,2,1.0
25590,0,0,0001-01-01T00:00:00,2025-03-10T15:15:14.066000,1064620275.2344334,127.594,9.106,113.27,15.7,4118.24,5,0.402,11351.37,4431.64,2,15,136.1,0.062,23,0.032
25589,0,0,0001-01-01T00:00:00,2025-03-10T17:01:16.852000,1064620381.2808666,0.156,0.139,0.28,0.01,4.26,1,0.941,151.99,67.22,11,17,29.67,0.062,14,0.973
25588,0,0,0001-01-01T00:00:00,2025-03-10T17:26:25.420000,1064620406.4236666,0.006,0.003,2.43,0.04,7.27,0,0.667,5.77,2.04,2,17,4.27,0.0,1,1.0
25587,0,0,0001-01-01T00:00:00,2025-03-09T16:07:02.544000,1064618887.0424,192.558,18.018,7.42,0.0,542.86,14,0.956,18340.65,3145.53,741,16,1523.48,0.018,740,0.065
25586,70,1,0001-01-01T00:00:00,2025-03-09T15:51:14.774000,1064618871.2462333,8.693,0.381,0.33,0.03,11.22,124,0.916,460.11,47.07,5,15,1537.21,0.158,717,0.027
25585,65,0,0001-01-01T00:00:00,2025-03-10T17:06:40.718000,1064620386.6786333,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,14,17,21.12,0.0,13,0
25584,45,0,0001-01-01T00:00:00,2025-03-10T17:19:54.769000,1064620399.9128166,0.607,0.604,10.31,0.0,51.34,0,0.8,603.99,283.34,0,17,6.03,0.0,2,0.992
25580,60,1,0001-01-01T00:00:00,2025-03-10T17:14:59.431000,1064620394.9905167,0.699,0.413,2.63,0.55,9.69,0,0.571,674.18,260.23,2,17,8.89,0.0,1,0.965
25579,45,1,0001-01-01T00:00:00,2025-03-10T01:12:28.299000,1064619432.47165,0.853,0.093,0.05,0.04,2.94,129,0.996,150.08,31.49,482,1,970.9,0.255,501,0.175
25578,65,0,0001-01-01T00:00:00,2025-03-10T17:16:42.495000,1064620396.70825,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,3,17,5.48,0.0,3,0
25574,0,1,0001-01-01T00:00:00,2025-03-09T13:25:55.655000,1064618725.9275833,11.895,2.376,0.52,0.0,93.69,30,0.964,2563.3,310.35,636,13,1672.54,0.03,927,0.168
25573,0,0,0001-01-01T00:00:00,2025-03-10T17:06:33.960000,1064620386.566,0.003,0.002,0.11,0.01,0.71,2,1.0,1.24,0.43,8,17,11.57,0.25,6,0.416
25572,45,0,0001-01-01T00:00:00,2025-03-10T10:29:33.688000,1064619989.5614667,0.43,0.269,0.06,0.0,8.08,8,0.995,342.64,141.92,77,10,408.06,0.041,195,0.776
25571,0,0,0001-01-01T00:00:00,2025-03-10T17:02:42.749000,1064620382.7124833,0.03,0.027,0.1,0.0,0.78,0,1.0,28.45,13.5,8,17,13.88,0.0,7,0.948
25569,45,0,0001-01-01T00:00:00,2025-03-10T14:44:19.820000,1064620244.3303334,0.715,0.521,0.15,0.0,6.76,7,0.986,520.74,106.03,65,14,151.59,0.103,66,0.729
25568,0,0,0001-01-01T00:00:00,2025-03-10T17:11:25.392000,1064620391.4232,0.065,0.065,2.34,2.34,2.34,0,0.0,64.85,32.36,0,17,1.66,0,0,1.0
25567,0,0,0001-01-01T00:00:00,2025-03-09T13:16:26.148000,1064618716.4358001,207.322,15.295,7.44,0.11,466.65,180,0.918,30094.48,3414.8,0,13,1678.57,0.215,770,0.019
25564,45,0,0001-01-01T00:00:00,2025-03-10T16:34:39.926000,1064620354.6654334,0.082,0.078,0.13,0.0,2.36,4,0.947,77.75,33.51,18,16,37.61,0.222,18,0.94
25563,0,0,0001-01-01T00:00:00,2025-03-10T17:06:35.173000,1064620386.5862166,0.003,0.001,0.77,0.08,2.94,1,0.75,1.09,0.52,3,17,4.65,0.333,2,0.432
